ENTITY_ID,NAME,DOMAIN,HEADCOUNT,YEAR_FOUNDED,HQ_LOCATION,DESCRIPTION,LINKEDIN_URL,HEADCOUNT_CHANGE_3M,HEADCOUNT_CHANGE_6M,HEADCOUNT_CHANGE_1Y,KEYWORDS
283028811,Kyligence,kyligence.io,128,2016,"San Jose, California,United States","Kyligence is a company that offers a range of data management and analytics solutions, including their flagship product Kyligence Zen, which is a low-code metrics platform designed to define, collect, and analyze business metrics. Their typical customers are enterprises and businesses in various industries, such as e-commerce, digital marketing, and online retail, who are looking to leverage data analytics to make better business decisions. Kyligence claims to differentiate themselves through their AI Copilot feature, which enables self-service insights and recommendations, as well as their ability to provide real-time analytics on PB-scale datasets.",https://www.linkedin.com/company/kyligence/,-0.03,-0.05,-0.08,"metrics,artificial intelligence,data,copilot,business metrics,kpis,analytics,statistics,operational metrics,datasets"
288833296,SurrealDB,surrealdb.com,37,2022,"Altrincham, Greater Manchester,United Kingdom","SurrealDB offers a multi-model database platform designed to simplify the development and scaling of real-time applications. Their typical customers are developers, data analysts, and organizations seeking innovative database solutions to support their application development and data analysis workloads. SurrealDB positions itself as a flexible and dynamic platform, offering a range of advanced features such as live queries, change feeds, machine learning integration, and multi-model data storage, aimed at empowering developers and organizations to build and scale real-time applications more efficiently.",https://www.linkedin.com/company/surrealdb/,0.23,0.37,0.68,"data,applications,functions,devices,datasets,components,production applications,metadata,sdks,capabilities"
283658520,Swell,swellcx.com,47,2016,"Utah,United States","Swell's main products and services include online reputation management, patient experience management, and employee experience management. Their typical customers are healthcare practices, including those in dental, optometry, pediatrics, dermatology, urgent care/ambulatory, physical therapy, specialty healthcare, med spa, and plastic surgery. Swell claims to differentiate themselves by automatically gathering private and public feedback from patients and employees, which helps practices boost their online reputations, enhance the patient experience, and improve employee satisfaction.",https://www.linkedin.com/company/swell-cx/,-0.16,-0.19,-0.27,"patients,private public,employees,team members,staff members,practices,healthcare practices,patient feedback,employee satisfaction,prospects"
289445847,Quickpage,quickpage.io,19,2016,"Seattle, Washington,United States","Quickpage is a video messaging app designed for sales and marketing professionals. Their core offering is a platform that allows users to easily create and send personalized video messages to prospects, with the aim of setting themselves apart from the competition and delivering a unique experience to customers. Their typical customers include sales professionals in industries such as automotive, real estate, insurance, and consulting, as well as coaches and marketers. Quickpage claims to differentiate themselves by providing a user-friendly platform with a 5-minute learning curve, built-in live chat for engaging leads, and real-time notifications for smarter follow-up.",https://www.linkedin.com/company/quickpage/,-0.14,-0.21,-0.1,"video messaging,features,email signature,video communication,key features,video messages,chrome extension,personalized video,screen share,gmail account"
298110611,Start Booking,startbooking.com,3,2017,"New York, New York,United States","Startbooking.com offers online scheduling software tailored for small businesses to manage their appointments, classes, and group bookings. Their typical customers include service-based businesses such as salons, spas, gyms, yoga studios, life coaches, and other professional service providers. They position themselves as a reliable and straightforward platform that prioritizes customer convenience and seamless integration with their existing business processes. They market themselves as a solution for businesses to focus on serving their customers and growing their business, rather than struggling with outdated scheduling tools.",https://www.linkedin.com/company/startbooking/,0.00,0.00,0.5,"online scheduling software,customer relationship management,small businesses,wordpress booking plugin,business owners,customer management,online booking,crm,calendar management,powerful integrations"
291063672,OXmaint,oxmaint.com,16,2015,"Sunnyvale, California,United States","OXmaint offers maintenance management software, with a focus on Asset Maintenance, Equipment, and Inventory Management. Their products include capabilities for mobile-first maintenance management, collaboration across locations, advanced analytics, real-time asset data, and integration with SAP ERP and AI & Automation solutions. Their typical customers include those in industries such as Manufacturing & Plants, Facility Management, Fleet Management, Hospitality, Property Management, Healthcare, Government & Public Works, and Schools & Higher Education. OXmaint claims to differentiate themselves by offering a solution that is mobile-first, with advanced analytics and integrated real-time asset data for reliability and resilience, making it stress-free for businesses to have the perfect control over their spending.",https://www.linkedin.com/company/oxmaint/,0.07,,175,"cmms,assets,maintenance management,cmms software,data,work order management,facility management,work orders,fleet management,preventive maintenance"
287472018,WhiteLab Genomics,whitelabgx.com,37,2019,"Zurich, Zurich,Switzerland","WhiteLab Genomics is a company that offers AI software solutions for gene and cell therapy. Their typical customers are scientists and researchers in the field of genomic medicine who are seeking to discover and design new genomic therapies. They differentiate themselves by leveraging graph knowledge technology and machine learning to provide in-silico simulations for optimized payload and vector design, genotoxicity assessment, and identification of optimal experimental protocols for in vivo and in vitro strategies. They position themselves as a company that helps their customers develop genomic medicines faster and in a more cost-effective manner.",https://www.linkedin.com/company/whitelabgenomics/,,,13.51,"genomic medicine,cell therapy,software solutions,therapies,analytical solutions,rna,applications,target discovery,key scientific,rna therapeutics"
203275481,Parity,paritygo.com,35,2016,"Toronto, Ontario,Canada","Parity Inc. provides remote HVAC optimization as a service, targeting multifamily residential buildings and hotels as their typical customers. The company claims to differentiate itself through its ""Optimizer"" service, which offers automatic energy savings and revenue to clients by remotely controlling and optimizing HVAC systems 24/7/365. They position themselves as a trusted and cost-effective energy efficiency solution, emphasizing benefits such as reducing energy waste, improving sustainability performance, and ensuring compliance with building performance standards.",https://www.linkedin.com/company/parityinc/,0.17,0.17,0.25,"hvac systems,hotels,sustainability performance,hvac equipment,residential buildings,condos,energy efficiency,energy costs,hvac,building owners"
290487311,JRNI,jrni.com,73,2008,"Sydney, New South Wales,Australia","JRNI offers an enterprise customer engagement platform that includes solutions for event management, appointment scheduling, and queuing/lobby management, all powered by AI-driven automation. Their typical customers span various industries, including retail, banking, government, and credit unions. They claim to differentiate themselves by focusing on facilitating personalized engagements at scale, with a strong emphasis on building enduring, consistent, and outstanding customer relationships throughout the entire customer lifecycle.",https://www.linkedin.com/company/jrni/,-0.03,-0.04,-0.08,"credit unions,customer engagement platform,brands,consumers,event management platform,engagement platform,financial institutions,banks,hyper personalization,analytics"
291414102,Sitoo,sitoo.com,84,2004,"Stockholm, Stockholm,Sweden","Sitoo is a world-leading Unified Commerce Platform anchored by a Point of Sale for global, fashion and lifestyle retailers. Their typical customers are retailers in the global, fashion, and lifestyle industries. Sitoo claims to differentiate themselves by providing a cloud-native Unified Commerce Platform that unifies all stores and online sales channels in real time, empowers store associates, streamlines inventory management, and exceeds customer expectations. They position and market themselves as a game-changing solution that enables retailers to deliver a seamless cross-channel customer experience and to sell and fulfill everything anywhere, resulting in never-missed sales and streamlined inventory management.",https://www.linkedin.com/company/sitoo/,0.04,0.12,0.2,"unified commerce platform,store associates,pos,retailers,inventory management,pos systems,global retailers,self checkout,unified commerce,pos software"
